Index,Region Name,Vineyards,Wineries,Tasting Rooms,State,County
1,Adelaida District,42,15,16,California,San Luis Obispo
2,Alexander Valley,241,41,23,California,Sonoma
3,Alta Mesa,1,0,0,California,"Sacramento, San Joaqui..."
4,Ancient Lakes of Columbia Valley,0,0,0,Washington,"Douglas, Grant, Kittit..."
5,Anderson Valley,39,7,5,California,Mendocino
6,Annapolis,10,0,0,California,Sonoma
7,Antelope Valley of the California High Desert,0,0,0,California,"Kern, Los Angeles"
8,Applegate Valley,37,17,18,Oregon,"Jackson, Josephine"
9,Arroyo Grande Valley,10,4,2,California,San Luis Obispo
10,Arroyo Seco,37,0,0,California,Monterey
11,Atlas Peak,12,1,0,California,Napa
12,Ballard Canyon,8,0,0,California,Santa Barbara
13,Bell Mountain,1,0,0,Texas,Gillespie
14,Ben Lomond Mountain,3,2,2,California,Santa Cruz
15,Benmore Valley,0,0,0,California,Lake
16,Bennett Valley,35,2,1,California,Sonoma
17,Big Valley District-Lake County,15,0,0,California,Lake
18,Borden Ranch,1,0,0,California,"Amador, Sacramento, Sa..."
19,Calistoga,38,1,0,California,Napa
20,Capay Valley,1,0,0,California,Yolo
21,Carmel Valley,2,0,0,California,Monterey
22,CaShenandoah Valley,7,3,3,California,"Amador, El Dorado"
23,Central Coast,637,122,118,California,"Alameda, Contra Costa,..."
24,Chalk Hill,40,6,3,California,Sonoma
25,Chalone,3,0,0,California,"Monterey, San Benito"
26,Chehalem Mountains,182,53,34,Oregon,"Clackamas, Washington,..."
27,Chiles Valley,2,0,0,California,Napa
28,Cienega Valley,4,0,0,California,San Benito
29,Clarksburg,18,3,3,California,"Sacramento, Solano, Yo..."
30,Clear Lake,42,0,0,California,Lake
31,Clements Hills,6,1,0,California,"Amador, Calaveras, San..."
32,Cole Ranch,0,0,0,California,Mendocino
33,Columbia Gorge,22,9,10,"Oregon, Washington","Hood River, Wasco, Kli..."
34,Columbia Valley,285,40,41,"Idaho, Oregon, Washington","Nez Perce, Gilliam, Mo..."
35,Coombsville,24,4,3,California,Napa
36,Cosumnes River,2,0,0,California,"Sacramento, San Joaqui..."
37,Covelo,0,0,0,California,Mendocino
38,Creston District,22,1,1,California,San Luis Obispo
39,Cucamonga Valley,1,3,4,California,"Riverside, San Bernard..."
40,Diablo Grande,0,0,0,California,Stanislaus
41,Diamond Mountain District,8,1,1,California,Napa
42,Dos Rios,0,0,0,California,Mendocino
43,Dry Creek Valley,211,56,43,California,Sonoma
44,Dundee Hills,98,28,32,Oregon,Yamhill
45,Dunnigan Hills,3,0,0,California,Yolo
46,Edna Valley,20,4,3,California,San Luis Obispo
47,El Dorado,42,1,1,California,"Amador, El Dorado, Pla..."
48,El Pomar District,27,5,4,California,San Luis Obispo
49,Elkton Oregon,6,2,3,Oregon,Douglas
50,Eola - Amity Hills,124,33,26,Oregon,"Polk, Yamhill"
51,Escondido Valley,0,0,0,Texas,Pecos
52,Fair Play,28,1,1,California,"Amador, El Dorado"
53,Fiddletown,2,0,0,California,Amador
54,Fort Ross-Seaview,23,3,2,California,Sonoma
55,Fredericksburg in the Texas Hill Country,1,0,0,Texas,Gillespie
56,Freestone-Occidental,24,2,1,California,Sonoma
57,Grand Valley,107,19,19,Colorado,Mesa
58,Green Valley,129,11,8,California,Sonoma
59,Guenoc Valley,2,0,0,California,Lake
60,Hames Valley,4,0,0,California,Monterey
61,Happy Canyon,6,0,0,California,Santa Barbara
62,High Valley,0,0,0,California,Lake
63,Howell Mountain,16,0,0,California,Napa
64,Inwood Valley,0,0,0,California,Shasta
65,Jahant,7,0,0,California,"Sacramento, San Joaqui..."
66,Kelsey Bench-Lake County,9,0,0,California,Lake
67,Knights Valley,35,2,0,California,Sonoma
68,Leona Valley,0,0,0,California,Los Angeles
69,Lime Kiln Valley,1,0,0,California,San Benito
70,Livermore Valley,42,4,6,California,"Alameda, Contra Costa"
71,Lodi,43,4,2,California,"Amador, Calaveras, El ..."
72,Los Carneros,102,11,5,California,"Napa, Sonoma"
73,Madera,0,0,0,California,"Fresno, Madera, Merced"
74,Malibu Coast,2,0,0,California,"Los Angeles, Ventura"
75,Malibu-Newton Canyon,1,0,0,California,Los Angeles
76,Manton Valley,2,0,0,California,"Shasta, Tehama"
77,McDowell Valley,2,0,0,California,Mendocino
78,McMinnville,16,4,5,Oregon,Yamhill
79,Mendocino,90,11,10,California,Mendocino
80,Mendocino Ridge,17,4,1,California,Mendocino
81,Merritt Island,4,1,1,California,"Sacramento, Yolo"
82,Mesilla Valley,0,0,0,"New Mexico, Texas","Dona Ana, El Paso"
83,Mokelumne River,26,3,2,California,"Sacramento, San Joaqui..."
84,Monterey,150,4,3,California,"Monterey, San Benito, ..."
85,Moon Mountain District Sonoma County,43,6,2,California,Sonoma
86,Mount Veeder,17,0,0,California,Napa
87,Mt Harlan,7,0,0,California,"Monterey, San Benito"
88,Napa Valley,462,50,40,California,Napa
89,North Coast,2102,317,232,California,"Lake, Marin, Mendocino..."
90,North Yuba,1,0,0,California,Yuba
91,Northern Sonoma,939,184,135,California,Sonoma
92,Oak Knoll District,32,4,3,California,Napa
93,Oakville,52,3,3,California,Napa
94,Old Mission Peninsula,6,3,3,Michigan,Grand Traverse
95,Pacheco Pass,1,0,0,California,"San Benito, Santa Clar..."
96,Paicines,5,0,0,California,San Benito
97,Paso Robles,254,46,43,California,"Kings, Monterey, San L..."
98,Paso Robles Estrella District,62,3,2,California,"Monterey, San Luis Obi..."
99,Paso Robles Geneseo District,22,2,2,California,San Luis Obispo
100,Paso Robles Highlands District,2,0,0,California,San Luis Obispo
101,Paso Robles Willow Creek District,39,12,11,California,San Luis Obispo
102,Petaluma Gap,89,9,7,California,"Marin, Sonoma"
103,Pine Mountain-Cloverdale Peak,9,1,0,California,"Mendocino, Sonoma"
104,Potter Valley,3,0,0,California,Mendocino
105,Ramona Valley,3,1,1,California,San Diego
106,Red Hills Lake County,12,0,0,California,Lake
107,Red Mountain,54,9,10,Washington,Benton
108,Redwood Valley,11,1,1,California,Mendocino
109,Ribbon Ridge,36,11,10,Oregon,Yamhill
110,River Junction,1,0,0,California,San Joaquin
111,Rockpile,8,0,0,California,Sonoma
112,Rogue Valley,89,33,37,Oregon,"Douglas, Jackson, Jose..."
113,Russian River Valley,574,92,68,California,Sonoma
114,Rutherford,66,3,3,California,Napa
115,Saddle Rock-Malibu,1,0,0,California,Los Angeles
116,Saint Helena,48,5,3,California,Napa
117,Salado Creek,0,0,0,California,Stanislaus
118,San Antonio Valley,9,0,0,California,"Monterey, San Luis Obi..."
119,San Benito,10,0,0,California,San Benito
120,San Bernabe,2,0,0,California,Monterey
121,San Francisco Bay,75,30,34,California,"Solano, Alameda, Contr..."
122,San Juan Creek,5,0,0,California,San Luis Obispo
123,San Lucas,9,0,0,California,Monterey
124,San Miguel District,11,0,0,California,"Monterey, San Luis Obi..."
125,San Pasqual Valley,1,0,0,California,San Diego
126,San Ysidro District,2,1,1,California,Santa Clara
127,Santa Clara Valley,21,15,16,California,"Alameda, San Benito, S..."
128,Santa Cruz Mountains,87,51,45,California,"San Mateo, Santa Clara..."
129,Santa Lucia Highlands,45,0,0,California,Monterey
130,Santa Margarita Ranch,1,2,2,California,San Luis Obispo
131,Santa Maria Valley,14,0,0,California,"San Luis Obispo, Santa..."
132,Santa Ynez Valley,70,5,7,California,Santa Barbara
133,Sebastopol Hills,53,0,0,California,Sonoma
134,Seiad Valley,0,0,0,California,Siskiyou
135,Sierra Foothills,85,6,11,California,"Amador, Butte, Calaver..."
136,Sierra Pelona Valley,0,0,0,California,Los Angeles
137,Sloughhouse,0,0,0,California,"Amador, El Dorado, Sac..."
138,Snake River Valley,40,31,26,"Idaho, Oregon","Ada, Boise, Canyon, El..."
139,Solano County Green Valley,4,0,0,California,"Napa, Solano"
140,Sonoma Coast,775,115,85,California,Sonoma
141,Sonoma Mountain,37,1,1,California,Sonoma
142,Sonoma Valley,316,47,33,California,Sonoma
143,South Coast,28,10,9,California,"Los Angeles, Orange, R..."
144,Southern Oregon,134,52,59,Oregon,"Douglas, Jackson, Jose..."
145,Spring Mountain District,19,0,0,California,Napa
146,Sta. Rita Hills,35,2,3,California,Santa Barbara
147,Stags Leap District,37,15,13,California,Napa
148,Suisun Valley,6,0,0,California,"Napa, Solano"
149,Temecula Valley,7,4,3,California,"Riverside, San Diego"
150,Templeton Gap District,23,5,4,California,San Luis Obispo
151,Texas Davis Mountains,0,0,0,Texas,Jeff Davis
152,Texas High Plains,1,0,1,Texas,"Armstrong, Deaf Smith,..."
153,Texas Hill Country,5,2,0,Texas,"Bandera, Blanco, Comal..."
154,Texoma,0,0,0,"Texas, Oklahoma","Collin, Cooke, Denton,..."
155,The Rocks District of Milton-Freewater,25,0,0,Oregon,Umatilla
156,Tracy Hills,0,0,0,California,"San Joaquin, Stanislau..."
157,Trinity Lakes,0,0,0,California,Trinity
158,Umpqua Valley,45,19,22,Oregon,"Douglas, Lane"
159,Walla Walla Valley,121,25,25,"Oregon, Washington",Walla Walla
160,West Elks,23,10,12,Colorado,Delta
161,West Sonoma Coast,50,3,2,California,"Mendocino, Sonoma"
162,Wild Horse Valley,0,0,0,California,"Napa, Solano"
163,Willamette Valley,778,269,263,"Oregon, Washington","Benton, Lane, Linn, Cl..."
164,Willow Creek,0,0,0,California,"Humboldt, Trinity"
165,Yakima Valley,78,8,7,Washington,"Benton, Yakima"
166,Yamhill-Carlton,105,31,26,Oregon,"Washington, Yamhill"
167,York Mountain,1,0,0,California,San Luis Obispo
168,Yorkville Highlands,6,2,2,California,Mendocino
169,Yountville,19,8,8,California,Napa
